,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98011,"13,092","26,252","7,660","775,273","11,364","606,734","6,679","8,065","4,407","13,812","3,509","23,519","1,868","24,901",*         ,*              ,388,"1,176",155,"1,470","5,960","540,662","113,876","5,222","496,140","14,645","5,947","536,325","31,206",137,356,"11,141","102,031","10,905","101,917",917,"1,239","5,279"
"Under $10,000        ","1,987","2,412",275,"6,049","1,450","8,420",606,425,389,471,332,211,231,842,--        ,--             ,*         ,*              ,14,64,106,590,"1,591",65,388,79,137,"-1,478",434,--        ,--             ,542,92,704,264,373,306,635
"$10,000 under $25,000","2,268","3,440",811,"39,417","1,793","29,676",738,923,434,955,322,32,266,"2,315",--        ,--             ,42,80,*         ,*              ,379,"6,921","6,097",283,"5,223",403,372,"6,806","1,170",--        ,--             ,"1,844","1,675","1,706","1,870",363,796,937
"$25,000 under $50,000","3,213","5,631","1,568","117,961","2,859","98,411","1,300","1,456",709,"1,783",555,592,382,"3,775",--        ,--             ,113,299,10,39,"1,155","44,758","17,021",941,"36,443","1,678","1,136","44,049","4,612",--        ,--             ,"3,142","9,487","2,912","9,206",181,137,"1,305"
"$50,000 under $75,000","2,113","4,623","1,377","130,612","1,944","109,521","1,256","1,231",791,"1,951",603,869,327,"2,898",*         ,*              ,79,262,20,110,"1,352","84,455","22,825","1,172","73,365","2,528","1,341","83,801","5,929",11,4,"2,102","13,253","2,075","12,722",--        ,--             ,878
"$75,000 under $100,000","1,501","4,072","1,391","129,999","1,412","110,005","1,095","1,225",762,"1,759",590,981,277,"3,593",--        ,--             ,76,247,33,285,"1,201","104,302","23,307","1,101","95,687","3,157","1,197","103,982","6,307",*         ,*              ,"1,501","14,231","1,498","13,733",--        ,--             ,631
"$100,000 or more     ","2,010","6,074","2,238","351,235","1,906","250,701","1,684","2,805","1,322","6,893","1,107","20,834",385,"11,478",--        ,--             ,78,288,78,972,"1,767","299,636","43,035","1,660","285,034","6,800","1,764","299,165","12,754",126,352,"2,010","63,293","2,010","64,122",--        ,--             ,893
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98012,"20,328","43,192","13,354","1,281,367","17,733","1,007,500","10,454","15,412","6,492","21,689","5,478","54,498","2,936","49,294",22,7,545,"1,631",231,"3,278","9,860","934,770","208,795","8,573","844,479","27,494","9,855","925,278","60,708",287,924,"17,446","166,153","17,050","165,584","1,315","2,005","9,040"
"Under $10,000        ","2,943","3,630",462,"6,110","2,224","12,379",836,659,571,599,479,-191,286,513,12,26,17,30,10,48,143,862,"2,043",92,582,94,203,"-2,461",694,--        ,--             ,834,144,"1,025",342,483,470,"1,055"
"$10,000 under $25,000","3,228","4,950","1,178","56,548","2,611","43,811","1,007","1,346",533,"1,309",436,41,370,"3,198",*         ,*              ,44,107,*         ,*              ,539,"9,767","8,241",405,"7,378",694,526,"9,529","1,812",--        ,--             ,"2,615","2,496","2,420","2,790",557,"1,311","1,430"
"$25,000 under $50,000","4,699","8,568","2,464","173,077","4,159","144,465","1,866","2,220",978,"2,152",796,788,613,"6,509",*         ,*              ,137,359,22,147,"1,678","65,194","26,282","1,350","52,715","2,522","1,663","64,668","6,591",--        ,--             ,"4,556","13,605","4,251","13,281",275,224,"2,038"
"$50,000 under $75,000","3,408","8,332","2,863","212,343","3,114","178,000","2,029","2,307","1,166","2,482",955,"1,544",559,"6,888",*         ,*              ,111,304,28,205,"2,260","142,428","39,721","1,904","120,321","4,281","2,243","141,359","10,222",*         ,*              ,"3,394","20,333","3,314","19,215",--        ,--             ,"1,532"
"$75,000 under $100,000","2,562","7,275","2,609","221,941","2,397","189,162","1,821","2,229","1,121","2,150",949,"3,358",475,"7,253",*         ,*              ,89,277,36,280,"2,105","182,798","41,627","1,901","165,329","4,596","2,090","181,497","11,116",18,13,"2,561","23,537","2,553","22,536",--        ,--             ,"1,150"
"$100,000 or more     ","3,488","10,437","3,778","611,348","3,228","439,683","2,895","6,651","2,123","12,997","1,863","48,958",633,"24,933",10,-19,147,554,135,"2,598","3,135","533,721","90,881","2,921","498,154","15,307","3,130","530,686","30,273",269,911,"3,486","106,038","3,487","107,420",--        ,--             ,"1,835"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98013,236,389,73,"13,222",152,"6,560",133,215,92,429,81,"1,162",73,"1,336",*         ,*              ,*         ,*              ,--        ,--             ,94,"8,823","2,179",71,"7,235",178,94,"8,820",579,*         ,*              ,188,"1,671",201,"1,854",39,31,111
"Under $10,000        ",54,60,3,215,27,127,17,6,15,8,13,-20,21,87,--        ,--             ,--        ,--             ,--        ,--             ,14,180,164,*         ,*              ,*              ,14,177,40,--        ,--             ,14,1,28,19,29,13,27
"$10,000 under $25,000",47,59,9,789,29,416,21,7,14,23,17,28,17,111,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,42,31,41,51,10,18,10
"$25,000 under $50,000",49,76,14,"1,856",36,"1,195",27,14,11,26,*         ,*              ,18,379,--        ,--             ,*         ,*              ,--        ,--             ,19,716,464,22,681,33,19,716,99,--        ,--             ,46,149,46,219,*         ,*              ,20
"$50,000 under $75,000",27,55,14,"1,695",20,"1,010",17,18,15,45,11,6,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,18,"1,154",278,12,784,28,18,"1,154",95,--        ,--             ,27,173,27,176,--        ,--             ,15
"$75,000 under $100,000",28,66,17,"2,354",17,"1,110",23,51,16,45,16,90,17,759,--        ,--             ,--        ,--             ,--        ,--             ,20,"1,701",420,16,"1,360",25,20,"1,701",123,--        ,--             ,28,238,28,270,--        ,--             ,22
"$100,000 or more     ",31,73,16,"6,313",23,"2,702",28,119,21,282,24,"1,058",*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,23,"5,072",853,21,"4,410",92,23,"5,072",222,*         ,*              ,31,"1,079",31,"1,119",--        ,--             ,17
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98014,"3,121","7,003","2,265","229,863","2,712","175,083","1,666","2,788","1,103","10,192",956,"15,060",565,"7,910",54,-704,92,307,38,457,"1,666","186,669","39,615","1,440","168,030","5,094","1,673","185,688","11,353",73,287,"2,613","30,771","2,571","30,818",226,339,"1,487"
"Under $10,000        ",500,583,48,"1,362",372,"2,102",142,105,89,142,63,-28,60,50,*         ,*              ,--        ,--             ,--        ,--             ,21,104,339,10,34,7,37,-336,167,--        ,--             ,142,26,175,54,77,69,188
"$10,000 under $25,000",493,825,229,"8,416",388,"6,276",161,235,84,180,79,79,68,607,25,-186,*         ,*              ,--        ,--             ,88,"1,631","1,524",71,"1,347",138,86,"1,600",355,--        ,--             ,370,324,360,408,99,242,236
"$25,000 under $50,000",569,"1,125",359,"21,090",502,"17,232",239,179,139,372,119,139,112,"1,280",*         ,*              ,31,88,*         ,*              ,242,"9,405","4,079",194,"7,583",273,240,"9,326","1,046",--        ,--             ,546,"1,512",497,"1,569",50,28,274
"$50,000 under $75,000",495,"1,254",426,"30,813",458,"26,090",284,242,168,431,131,60,113,778,14,-278,15,47,14,85,354,"22,255","6,301",293,"18,526",518,352,"22,142","1,728",--        ,--             ,493,"2,789",479,"2,596",--        ,--             ,252
"$75,000 under $100,000",378,"1,143",442,"32,612",358,"28,421",258,194,167,373,136,491,81,"1,091",*         ,*              ,15,52,*         ,*              ,327,"28,219","7,155",283,"24,466",760,325,"28,036","2,053",*         ,*              ,377,"3,209",376,"3,049",--        ,--             ,174
"$100,000 or more     ",686,"2,073",761,"135,570",634,"94,962",582,"1,833",456,"8,694",428,"14,319",131,"4,104",15,-240,31,120,24,372,634,"125,055","20,217",589,"116,074","3,398",633,"124,920","6,004",73,287,685,"22,911",684,"23,142",--        ,--             ,363
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98015,469,811,191,"36,055",376,"25,782",274,577,183,"2,114",155,"1,466",97,"1,816",--        ,--             ,10,25,*         ,*              ,222,"24,392","5,699",189,"20,037",554,230,"24,060","1,425",16,46,403,"5,762",409,"5,579",17,19,235
"Under $10,000        ",62,73,3,-208,33,239,25,39,18,14,*         ,*              ,13,-85,--        ,--             ,10,25,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,13,-234,57,--        ,--             ,11,2,20,22,*         ,*              ,27
"$10,000 under $25,000",58,78,14,"1,007",43,706,21,26,12,13,18,-16,17,180,--        ,--             ,*         ,*              ,--        ,--             ,16,250,205,14,207,16,12,228,34,--        ,--             ,51,47,51,71,17,19,30
"$25,000 under $50,000",124,187,42,"4,626",103,"3,728",57,114,32,205,28,-25,25,378,--        ,--             ,*         ,*              ,--        ,--             ,47,"1,865",992,35,"1,399",48,47,"1,865",164,--        ,--             ,116,383,115,420,*         ,*              ,62
"$50,000 under $75,000",81,134,31,"5,090",67,"3,947",57,126,36,132,28,70,25,560,--        ,--             ,--        ,--             ,*         ,*              ,47,"3,007",823,41,"2,654",88,47,"3,007",225,--        ,--             ,81,588,79,633,--        ,--             ,45
"$75,000 under $100,000",58,134,42,"4,971",53,"4,166",40,39,27,254,26,-12,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,37,"3,179",703,32,"2,751",83,36,"3,103",219,--        ,--             ,58,608,58,604,--        ,--             ,21
"$100,000 or more     ",86,205,59,"20,569",77,"12,996",74,233,58,"1,496",55,"1,449",17,783,--        ,--             ,*         ,*              ,--        ,--             ,75,"16,091","2,976",67,"13,026",319,75,"16,091",726,16,46,86,"4,134",86,"3,829",--        ,--             ,50
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98019,"4,514","10,335","3,360","336,716","4,037","284,627","2,447","2,584","1,629","6,096","1,320","10,163",838,"9,159",28,-174,144,447,42,395,"2,625","271,563","56,658","2,252","243,243","6,204","2,625","269,870","15,178",66,190,"3,911","46,542","3,864","46,288",281,352,"1,940"
"Under $10,000        ",584,719,88,"2,175",426,"2,509",175,133,81,98,70,-17,87,91,*         ,*              ,*         ,*              ,--        ,--             ,39,236,742,25,150,30,56,-128,206,--        ,--             ,148,30,202,104,106,93,203
"$10,000 under $25,000",640,955,208,"10,990",520,"8,500",194,251,111,212,84,46,89,752,15,11,12,29,--        ,--             ,121,"2,211","1,865",88,"1,596",142,121,"2,211",447,--        ,--             ,517,467,494,552,119,219,251
"$25,000 under $50,000",826,"1,566",458,"30,514",723,"24,764",356,456,205,533,175,410,152,"1,550",*         ,*              ,29,97,*         ,*              ,361,"14,046","6,024",271,"10,631",479,355,"13,825","1,424",--        ,--             ,784,"2,207",732,"2,280",56,40,376
"$50,000 under $75,000",749,"1,885",661,"47,024",702,"40,646",441,437,256,455,194,281,176,"1,615",*         ,*              ,31,79,20,96,544,"34,534","9,741",468,"29,749",872,537,"34,081","2,502",--        ,--             ,749,"4,354",726,"4,133",--        ,--             ,335
"$75,000 under $100,000",636,"1,873",688,"55,463",616,"49,635",434,281,296,499,202,270,123,956,13,-185,28,88,*         ,*              ,556,"48,582","11,807",488,"42,744","1,229",556,"48,582","3,091",*         ,*              ,634,"5,621",631,"5,297",--        ,--             ,267
"$100,000 or more     ","1,079","3,337","1,257","190,550","1,050","158,573",847,"1,026",680,"4,299",595,"9,173",211,"4,195",*         ,*              ,44,154,22,299,"1,004","171,954","26,479",912,"158,373","3,452","1,000","171,299","7,508",66,190,"1,079","33,863","1,079","33,922",--        ,--             ,508
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
