,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
"$25,000 under $50,000",180,253,47,"6,560",139,"4,776",90,220,63,291,49,-36,34,326,--        ,--             ,23,75,*         ,*              ,63,"2,337",958,53,"1,999",104,61,"2,257",218,--        ,--             ,177,571,166,622,*         ,*              ,87
"$50,000 under $75,000",107,199,48,"6,702",81,"4,562",62,226,53,219,44,297,29,769,--        ,--             ,*         ,*              ,*         ,*              ,62,"3,922","1,236",52,"3,296",113,62,"3,922",325,--        ,--             ,105,697,105,778,--        ,--             ,58
"$75,000 under $100,000",75,139,30,"6,513",51,"3,799",60,143,44,380,39,56,13,297,--        ,--             ,*         ,*              ,--        ,--             ,47,"4,098","1,044",40,"3,521",118,46,"4,021",300,--        ,--             ,74,839,74,865,--        ,--             ,41
"$100,000 or more     ",207,443,100,"366,554",143,"27,747",190,"14,629",155,"14,620",157,"56,469",50,"-2,102",*         ,*              ,15,51,23,258,179,"270,731","21,185",171,"269,216","9,740",180,"359,437","4,947",60,749,203,"88,107",202,"88,262",--        ,--             ,150
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98010,"2,330","5,102","1,632","146,054","1,981","112,430","1,222","1,993",722,"1,515",568,"6,122",319,"5,143",*         ,*              ,48,151,18,309,"1,163","109,010","23,698","1,020","100,245","2,660","1,159","108,089","6,863",39,89,"1,980","18,505","1,917","18,362",182,277,"1,152"
"Under $10,000        ",374,467,64,"1,052",263,"1,701",109,52,63,68,58,-47,35,-64,--        ,--             ,*         ,*              ,--        ,--             ,21,127,298,12,92,8,27,-178,146,--        ,--             ,107,20,129,54,61,54,143
"$10,000 under $25,000",358,578,156,"6,263",275,"4,456",122,177,64,89,42,-14,39,403,*         ,*              ,*         ,*              ,--        ,--             ,69,"1,279",953,53,"1,016",63,69,"1,279",267,--        ,--             ,284,253,254,277,85,188,182
"$25,000 under $50,000",512,969,296,"18,991",447,"15,540",219,204,108,151,74,38,71,738,--        ,--             ,13,37,*         ,*              ,201,"7,923","2,895",157,"6,220",215,197,"7,754",779,--        ,--             ,504,"1,467",462,"1,437",36,35,265
"$50,000 under $75,000",391,989,332,"24,272",357,"20,143",225,211,126,164,96,96,62,682,*         ,*              ,20,60,--        ,--             ,266,"16,614","4,649",225,"14,089",431,262,"16,366","1,201",--        ,--             ,390,"2,226",379,"2,097",--        ,--             ,197
"$75,000 under $100,000",276,805,293,"23,766",258,"20,147",201,295,112,201,87,241,48,474,*         ,*              ,*         ,*              ,*         ,*              ,225,"19,460","4,388",205,"17,762",488,224,"19,364","1,218",*         ,*              ,276,"2,471",274,"2,315",--        ,--             ,136
"$100,000 or more     ",419,"1,294",491,"71,710",381,"50,443",346,"1,054",249,842,211,"5,808",64,"2,910",*         ,*              ,15,54,18,309,381,"63,607","10,515",368,"61,066","1,455",380,"63,504","3,252",39,89,419,"12,068",419,"12,182",--        ,--             ,229
