Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
"$25,000 under $50,000",305,614,183,"11,037",256,"8,547",130,123,62,138,60,206,45,287,*         ,*              ,15,58,0,0,102,"3,828","1,540",67,"2,588",137,96,"3,619",255,0,0,296,772,269,732,28,29,160
"$50,000 under $75,000",223,567,178,"13,750",197,"10,532",145,318,59,77,68,482,41,356,*         ,*              ,15,60,0,0,128,"7,823","2,182",103,"6,262",272,128,"7,823",498,*         ,*              ,221,"1,246",215,"1,197",0,0,127
"$75,000 under $100,000",111,299,92,"9,631",96,"7,172",72,48,32,55,31,264,22,221,0,0,*         ,*              ,0,0,76,"6,595","1,495",58,"5,035",144,76,"6,595",355,*         ,*              ,111,"1,039",110,"1,004",0,0,66
"$100,000 or more     ",97,248,64,"20,545",80,"9,891",86,607,52,587,64,"2,955",28,"1,156",*         ,*              ,*         ,*              ,*         ,*              ,75,"16,809","1,982",69,"15,789",366,75,"16,809",780,17,48,97,"3,639",97,"3,749",0,0,68
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98649,444,"1,025",336,"19,363",380,"15,283",221,184,60,31,76,504,72,154,*         ,*              ,*         ,*              ,0,0,152,"9,757","2,666",110,"7,175",184,153,"9,738",632,*         ,*              ,361,"1,732",349,"1,652",55,97,237
"Under $10,000        ",67,89,11,142,46,309,22,7,*         ,*              ,*         ,*              ,17,-26,*         ,*              ,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,11,2,19,7,16,12,34
"$10,000 under $25,000",90,169,47,"1,547",70,"1,061",42,44,19,16,21,25,14,56,0,0,0,0,0,0,14,200,164,*         ,*              ,*              ,15,181,44,0,0,67,47,65,55,26,67,39
"$25,000 under $50,000",109,263,102,"4,042",97,"3,251",48,33,10,6,12,7,18,74,*         ,*              ,*         ,*              ,0,0,36,"1,419",603,31,"1,027",59,36,"1,419",108,0,0,105,257,90,230,13,18,67
"$50,000 under $75,000",113,312,108,"6,908",106,"5,955",64,12,11,2,22,142,23,50,*         ,*              ,*         ,*              ,0,0,61,"3,795",954,44,"2,701",79,61,"3,795",216,*         ,*              ,113,611,110,545,0,0,56
"$75,000 under $100,000",40,120,43,"3,371",37,"2,714",27,42,20,7,21,330,*         ,*              ,*         ,*              ,0,0,0,0,24,"2,017",551,23,"1,938",31,24,"2,017",164,0,0,40,320,40,295,0,0,23
"$100,000 or more     ",25,72,25,"3,353",24,"1,993",18,46,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,17,"2,326",394,12,"1,509",15,17,"2,326",100,*         ,*              ,25,495,25,520,0,0,18
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98650,438,897,237,"26,483",345,"12,944",234,971,133,346,126,"3,411",102,565,32,-168,12,44,*         ,*              ,133,"17,508","3,068",106,"15,057",377,134,"17,391",928,12,57,312,"3,342",314,"3,375",61,95,257
"Under $10,000        ",117,159,26,471,86,591,41,49,27,16,31,-6,24,26,*         ,*              ,*         ,*              ,0,0,*         ,*              ,*              ,*         ,*              ,*              ,12,24,34,0,0,24,2,39,11,31,27,58
"$10,000 under $25,000",79,153,43,"1,334",56,916,31,62,14,10,*         ,*              ,25,177,16,-76,12,44,0,0,19,226,293,*         ,*              ,*              ,10,169,28,0,0,50,36,50,56,30,68,45
"$25,000 under $50,000",107,256,86,"4,034",92,"3,115",55,86,24,37,24,18,24,150,*         ,*              ,*         ,*              ,0,0,31,"1,183",434,34,"1,093",59,29,"1,099",93,0,0,103,274,92,259,*         ,*              ,66
"$50,000 under $75,000",57,138,40,"3,500",49,"2,584",37,73,18,36,20,13,17,150,16,-92,0,0,0,0,27,"1,681",436,21,"1,290",38,27,"1,681",123,0,0,57,331,55,324,0,0,34
"$75,000 under $100,000",33,91,26,"2,814",29,"1,910",27,48,17,43,18,50,*         ,*              ,*         ,*              ,0,0,0,0,20,"1,709",401,17,"1,465",67,20,"1,709",146,0,0,33,280,33,256,0,0,19
"$100,000 or more     ",45,100,16,"14,330",33,"3,828",43,653,33,204,33,"3,336",12,62,*         ,*              ,*         ,*              ,*         ,*              ,36,"12,709","1,504",34,"11,209",213,36,"12,709",504,12,57,45,"2,419",45,"2,469",0,0,35
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98651,346,676,145,"23,253",275,"13,279",201,531,116,618,108,"1,715",51,445,*         ,*              ,14,38,*         ,*              ,123,"13,485","2,787",104,"10,906",291,122,"13,471",802,*         ,*              ,273,"3,255",265,"3,301",38,52,189
"Under $10,000        ",70,97,12,305,46,334,32,25,23,22,24,-10,14,77,*         ,*              ,0,0,0,0,13,136,167,*         ,*              ,*              ,12,122,19,0,0,15,1,16,8,21,18,39
"$10,000 under $25,000",57,88,22,964,48,754,18,23,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,41,37,39,42,17,34,24
"$25,000 under $50,000",73,140,28,"2,749",62,"1,916",40,103,20,77,14,12,23,102,0,0,14,38,0,0,24,945,370,25,813,38,24,945,84,0,0,71,192,64,192,*         ,*              ,38
"$50,000 under $75,000",58,138,33,"3,607",50,"2,788",40,105,17,14,17,8,*         ,*              ,*         ,*              ,*         ,*              ,0,0,25,"1,584",390,24,"1,509",67,25,"1,584",113,0,0,58,340,58,327,0,0,31
"$75,000 under $100,000",32,80,20,"2,847",24,"1,817",22,44,18,78,16,38,14,266,0,0,*         ,*              ,*         ,*              ,21,"1,858",423,18,"1,612",28,21,"1,858",117,0,0,32,309,32,300,0,0,14
"$100,000 or more     ",56,133,30,"12,781",45,"5,670",49,231,38,427,37,"1,667",*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,40,"8,962","1,437",37,"6,972",158,40,"8,962",469,*         ,*              ,56,"2,376",56,"2,432",0,0,43
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98660,"4,497","8,195","2,302","217,895","3,885","145,466","1,655","9,254",782,"6,131",738,"25,972",562,"8,118",*         ,*              ,96,270,34,748,"1,503","136,073","29,100","1,190","117,064","4,574","1,492","133,888","8,528",46,217,"3,618","26,874","3,432","27,144",763,"1,240","2,253"
"Under $10,000        ",742,"1,073",277,"1,955",568,"3,378",157,178,59,55,64,29,99,235,0,0,*         ,*              ,0,0,34,220,410,15,89,19,42,"-1,295",78,0,0,130,20,202,102,314,336,348
"$10,000 under $25,000","1,213","1,973",577,"20,881","1,046","17,580",259,400,130,284,102,110,110,732,0,0,26,55,0,0,135,"2,524","1,835",89,"1,700",133,127,"2,392",313,0,0,975,833,851,873,322,777,602
"$25,000 under $50,000","1,291","2,359",707,"46,580","1,168","40,193",413,540,160,252,143,303,123,"1,450",0,0,34,94,13,83,436,"16,448","5,481",313,"11,901",439,429,"16,221","1,297",0,0,"1,267","3,670","1,146","3,485",127,127,612
"$50,000 under $75,000",666,"1,459",439,"40,483",604,"34,155",362,633,160,451,141,544,99,"1,141",0,0,10,28,*         ,*              ,433,"26,533","6,678",353,"21,728",706,430,"26,351","1,759",0,0,663,"4,090",651,"3,932",0,0,344
"$75,000 under $100,000",285,669,168,"24,467",256,"19,471",207,567,96,321,95,604,57,"1,071",0,0,14,34,*         ,*              ,216,"18,613","3,996",194,"16,721",474,216,"18,613","1,139",*         ,*              ,284,"2,756",283,"2,815",0,0,139
"$100,000 or more     ",300,662,134,"83,529",243,"30,689",257,"6,936",177,"4,768",193,"24,382",74,"3,489",*         ,*              ,12,59,21,665,249,"71,735","10,700",226,"64,925","2,803",248,"71,606","3,942",46,217,299,"15,505",299,"15,937",0,0,208
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98661,"15,715","31,106","10,109","814,633","13,628","489,064","5,414","21,663","2,575","41,564","2,318","123,006","1,910","18,887",21,-106,331,"1,099",64,815,"4,599","520,694","90,344","3,749","472,647","16,776","4,580","515,188","27,469",169,"1,068","12,014","109,608","11,280","108,289","3,187","5,839","8,344"
"Under $10,000        ","2,934","4,467","1,270","10,139","2,401","13,515",587,573,264,339,255,"1,000",374,89,10,-16,10,17,*         ,*              ,118,676,"1,483",60,365,61,147,"-2,977",464,*         ,*              ,481,77,762,308,"1,252","1,505","1,490"
"$10,000 under $25,000","4,553","8,454","3,039","78,369","3,901","64,646",915,"1,315",375,739,326,296,459,"2,929",*         ,*              ,51,109,*         ,*              ,494,"9,047","6,733",365,"6,660",613,474,"8,725","1,124",0,0,"3,406","2,739","2,975","2,934","1,447","3,823","2,486"
"$25,000 under $50,000","4,462","9,080","3,071","160,037","4,023","136,650","1,461","1,875",602,"1,255",505,"1,069",462,"3,618",*         ,*              ,115,357,19,83,"1,361","52,274","18,499","1,044","40,350","2,010","1,344","51,598","4,519",0,0,"4,370","11,728","3,830","10,817",488,511,"2,221"
"$50,000 under $75,000","1,957","4,543","1,405","118,888","1,743","95,892","1,050","1,526",453,"1,117",394,"1,457",243,"2,180",*         ,*              ,77,267,*         ,*              ,"1,175","72,174","18,580",964,"59,390","2,087","1,167","71,690","5,110",*         ,*              ,"1,952","11,595","1,909","10,906",0,0,"1,026"
"$75,000 under $100,000",884,"2,268",683,"75,864",795,"60,020",597,"1,254",306,884,282,"1,734",159,"1,733",11,-90,30,111,13,94,681,"58,570","12,695",603,"51,954","1,714",680,"58,485","3,659",20,26,882,"8,347",880,"8,140",0,0,475
"$100,000 or more     ",925,"2,294",641,"371,336",765,"118,341",804,"15,120",575,"37,230",556,"117,450",213,"8,338",*         ,*              ,48,238,32,638,770,"327,953","32,354",713,"313,928","10,291",768,"327,667","12,593",149,"1,042",923,"75,122",924,"75,184",0,0,646
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98662,"11,817","25,483","8,454","621,929","9,993","410,531","4,898","10,837","2,118","7,464","1,962","39,150","1,673","19,884",29,-92,285,949,66,686,"4,946","424,221","87,197","4,081","372,266","11,781","4,908","421,448","23,234",120,403,"9,580","72,754","9,115","71,214","1,750","3,300","6,298"
