Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
98010,"2,353","5,121","1,616","183,974","2,018","122,089","1,287","2,659",697,"1,562",565,"16,678",346,"6,826",12,-67,44,163,23,366,"1,205","142,831","27,609","1,053","131,852","4,050","1,201","141,457","7,569",61,174,"2,029","27,346","1,976","27,836",165,279,"1,202"
"Under $10,000        ",322,390,48,694,244,"1,961",98,64,64,42,59,-46,28,-115,0,0,*         ,*              ,0,0,13,66,232,*         ,*              ,*              ,23,-557,112,0,0,87,16,106,43,54,52,129
"$10,000 under $25,000",384,594,147,"6,580",294,"4,860",127,173,61,83,52,-2,49,308,*         ,*              ,*         ,*              ,0,0,66,"1,178",899,58,989,62,65,"1,154",238,0,0,304,277,286,304,78,197,203
"$25,000 under $50,000",508,940,267,"18,947",442,"15,365",218,276,97,85,59,56,68,653,0,0,16,50,0,0,201,"7,895","3,117",159,"6,266",260,195,"7,652",734,0,0,499,"1,419",462,"1,404",33,30,263
"$50,000 under $75,000",370,885,290,"22,909",337,"19,022",226,265,102,117,82,190,65,653,12,-67,11,25,*         ,*              ,256,"16,046","4,603",215,"13,545",342,252,"15,796","1,201",0,0,370,"2,134",354,"2,025",0,0,196
"$75,000 under $100,000",296,844,297,"25,540",271,"21,298",210,233,115,90,81,411,47,864,*         ,*              ,*         ,*              ,*         ,*              ,238,"20,613","4,633",219,"18,978",447,235,"20,379","1,256",0,0,296,"2,650",296,"2,556",0,0,153
"$100,000 or more     ",473,"1,468",567,"109,304",430,"59,583",408,"1,648",258,"1,145",232,"16,069",89,"4,463",*         ,*              ,17,88,23,366,431,"97,033","14,125",402,"92,074","2,939",431,"97,033","4,028",61,174,473,"20,850",472,"21,504",0,0,258
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98011,"13,268","26,247","7,566","865,093","11,490","633,973","7,077","11,035","4,334","11,621","3,601","53,957","1,916","26,732",*         ,*              ,406,"1,429",140,"1,872","6,094","618,557","123,723","5,274","564,559","16,954","6,050","612,103","32,909",235,695,"11,361","120,888","11,095","120,746",833,"1,134","5,447"
"Under $10,000        ","1,967","2,333",242,"6,084","1,449","8,375",646,502,376,483,343,13,248,177,0,0,14,37,0,0,106,635,"1,446",66,397,74,132,"-2,064",406,0,0,548,91,695,243,343,257,657
